Station_ID,dec_lat_va,dec_long_v,Zip_Clean
5420680,42.83609117,-92.2574003,50676
5457700,43.06219456,-92.6738835,50616
5411500,42.9035981,-91.1451296,52049
6604000,43.469684,-95.1238842,51360
6604110,43.42637778,-95.093025,51360
6604200,43.37857499,-95.1813857,51360
6604345,43.3407083,-95.1311,51351
5483470,41.69554227,-94.3816333,50216
5483600,41.687209,-94.3710773,50216
5480820,42.72441667,-93.9466944,50542
5487520,41.4894,-93.27825,50170
6483290,43.4229723,-96.1648872,51246
5489000,41.2190021,-92.9085332,50044
5451500,42.06582096,-92.9076997,50158
5451700,42.0088776,-92.852421,50158
5485640,41.613878,-93.5454932,50317
5484800,41.5872114,-93.7032762,50312
5451770,41.96425556,-92.63655,52339
5451900,41.89943868,-92.474355,52339
5464220,42.25152778,-92.2988889,52224
5469990,42.15026194,-93.6204947,50248
5481300,42.2519203,-93.9968975,50530
5458300,42.73721967,-92.47009,50677
546494140,41.69038889,-91.3504444,52358
546494150,41.6905833,-91.3501944,52358
546494170,41.6735833,-91.3436944,52358
5464942,41.6695833,-91.3506389,52358
5421760,41.97194444,-90.96,52323
5412020,42.84348517,-91.4012767,52043
5389400,43.04081747,-91.2065192,52157
5389500,43.02701224,-91.1726298,52157
5494300,40.7694656,-92.4187964,52537
5474000,40.75365038,-91.2770942,52658
5479000,42.7235824,-94.193489,50529
5454220,41.7183455,-91.7401737,52322
5464730,41.963,-91.5770833,52403
5464480,42.0116655,-91.704903,52402
5486000,41.45790739,-93.6549685,50211
6809500,41.0086043,-95.2416582,51566
6811760,41.1016576,-95.102767,51566
6811800,41.07999087,-95.093044,51566
6610505,41.18916667,-95.8625,51501
5422600,41.54614409,-90.5240237,52807
5451955,42.079438,-92.3001864,52217
5487470,41.33721569,-93.4863246,50001
6600000,42.53488295,-96.4107236,51104
6903880,40.825011,-92.8926988,52574
5452500,41.85905556,-92.2779167,52208
5481510,42.16636699,-94.0199543,50223
5421000,42.46359796,-91.8951722,50644
5482430,42.1690833,-94.7260278,51443
5420500,41.78058635,-90.252073,52730
5418400,42.1643333,-90.7293333,52060
5418500,42.08335324,-90.6329124,52060
5484500,41.5338779,-93.9499503,50038
5483450,41.7790833,-94.4928611,50115
6608500,41.83054358,-95.9313989,51564
6602400,41.96443228,-95.9919554,51523
5473400,40.92530537,-91.6742195,52641
5473450,41.0069727,-91.5515497,52641
5476750,42.7194158,-94.2205182,50548
5472500,41.3008452,-92.2046255,52591
5471500,41.3556987,-92.65735889,50207
5472390,41.4213916,-92.6513024,50207
5487980,41.24663889,-93.2901667,50062
5476590,43.12607549,-94.7060919,50536
6485500,42.83752049,-96.5619219,51001
5481950,41.68832155,-93.7355002,50131
5422470,41.55114445,-90.4551322,52722
4.13E+14,41.57447764,-90.403186,52722
6600100,42.98193136,-96.0011289,51003
6903700,40.80056114,-93.1924303,52583
5411600,43.20727778,-91.9503333,52168
6816290,41.2455425,-94.757755,50853
5464420,42.06916346,-91.7851803,52324
5458900,42.6294261,-92.54352199,50647
5458500,42.64831555,-92.4651859,50647
6605750,42.9725,-95.1611111,50585
5421890,41.9150254,-90.6001369,52037
5420460,41.82725169,-90.1904045,52732
5484000,41.5894324,-94.1513463,50233
5451210,42.3150833,-93.1520556,50627
5387320,43.46677778,-92.2975278,52155
5453200,41.80500685,-91.8732336,52203
5471050,41.6813776,-93.2465939,50054
5455700,41.42377778,-91.4785278,52738
4.12E+14,41.39086215,-91.05514919,52761
6903400,40.95189005,-93.2598477,50049
5457440,43.4149654,-92.9849187,50472
6602020,42.22693509,-96.0780716,51026
6600030,43.186,-95.7251111,51248
6599950,42.6197153,-96.3725279,51108
6599900,42.6933333,-96.3703056,51038
5484650,41.5616561,-93.7035539,50321
5484900,41.58165598,-93.6429964,50321
5482000,41.61248906,-93.6210513,50314
5453000,41.74944709,-92.1821267,52301
5453100,41.81272566,-92.064792,52301
5463050,42.53756756,-92.4434929,50613
5463500,42.4077639,-92.4632451,50613
5462000,42.7119245,-92.5829664,50670
5483349,42.04165195,-94.8788752,51401
6898000,40.64027956,-93.8082796,50065
5451080,42.5436111,-93.5894444,50271
5481000,42.43247506,-93.8057762,50595
6609500,41.6416111,-95.7822222,51546
6607500,41.9644323,-95.9727884,51558
5454090,41.7,-91.5627778,52241
5454300,41.67668186,-91.5987812,52241
5455500,41.4697387,-91.7146129,52247
5478265,43.08227778,-94.2308611,50511
5465500,41.1780861,-91.1820939,52653
5465700,41.10319444,-91.0635278,52653
6483500,43.2144259,-96.2944709,51247
5488500,41.28139069,-92.861504,50256
6601200,42.0072101,-96.241688,51040
6811875,40.74249256,-95.1297039,51632
6817000,40.74327778,-95.0141944,51632
6817300,40.7275833,-94.9798056,51632
5470000,42.0665132,-93.6201343,50010
5470500,42.02304157,-93.6304962,50010
5471000,42.00665328,-93.595495,50010
6602190,42.47499264,-96.1897457,51030
5449500,42.75994409,-93.6218489,50525
5480930,42.73191657,-93.7074355,50525
5389000,43.11192665,-91.2651317,52146
5388250,43.4210841,-91.5087519,52140
5388310,43.45108357,-91.5051407,52140
5452000,41.96416188,-92.3132418,52225
6605850,42.89581088,-95.2433303,51033
5463000,42.572,-92.6182778,50660
5483318,41.94581909,-94.8794306,51463
5459490,43.21329319,-93.2107594,50401
5459500,43.16496176,-93.1927034,50401
5460100,43.14857108,-93.2688155,50401
6609560,41.9213774,-95.7016725,51529
4.05E+14,40.8822604,-91.0240323,52601
5476500,43.39745897,-94.8441533,51334
6604215,43.3771658,-95.1282092,51355
5411850,43.0541879,-91.8090983,52175
6810000,40.60166667,-95.645,51640
5387405,43.44130556,-92.0359444,52136
5421740,42.08333856,-91.2673818,52205
5485500,41.57776716,-93.6054951,50309
6807410,41.38999164,-95.3716666,51536
5422000,41.76697439,-90.5348588,52756
6819185,40.6605433,-94.7166355,50833
5480080,42.52919444,-94.2566944,50501
5480500,42.50830276,-94.2035732,50501
6903900,40.82187224,-92.8912543,52544
6904010,40.6925174,-92.7724179,52544
5420850,42.71469444,-92.0415556,50629
5464780,41.7872222,-91.31375,52772
5460000,43.12416667,-93.3838889,50428
6605000,43.1280262,-95.2108304,51301
5412400,42.7538753,-91.3690252,52042
5416900,42.4699878,-91.4487147,52057
6808500,40.8730547,-95.5802746,51649
5482500,41.98803907,-94.3769127,50129
5476735,42.8055277,-94.4624735,50520
6606600,42.4822222,-95.7926111,51016
5471200,41.80526578,-93.3093735,50168
5464500,41.97194549,-91.6671239,52404
4.02E+14,40.3975442,-91.374318,52632
5465000,41.40919179,-91.2904335,52739
6610657,41.2287833,-95.8187333,51503
5481650,41.6805439,-93.6682755,50313
5490500,40.72780589,-91.959617,52565
5489490,41.01445839,-92.4624087,52501
5489500,41.01084795,-92.4112963,52501
5486490,41.4241581,-93.5874386,50125
5387440,43.40691316,-91.8990464,52101
5387490,43.2913611,-91.8093215,52101
5387500,43.3048888,-91.7955429,52101
6809210,41.3461012,-95.0769355,50022
5464315,42.1708283,-92.0237917,52349
5464000,42.4955419,-92.3343516,50703
5458000,43.03328014,-92.5035435,50645
5412500,42.7399884,-91.261799,52048
6607200,42.1569338,-95.810007,51034
5484600,41.53171179,-93.7819729,50266
5418720,42.1638611,-90.3350833,52031
4.22E+14,42.26084897,-90.4226284,52031
5469860,42.31442529,-93.639938,50130
5448400,43.1024617,-93.7846643,50423
5453520,41.71529327,-91.5301698,52240
5454000,41.7000165,-91.4876684,52240
5455010,41.65140608,-91.5076675,52240
5455100,41.60640518,-91.61572419,52240
5454500,41.6566832,-91.5410017,52246
6483495,43.24525718,-96.177523,51239
5488110,41.36055325,-92.9732556,50138
5488200,41.30055336,-93.0454805,50138
6600500,42.5766596,-96.3114156,51024
5485605,41.7173771,-93.5701332,50021
4.05E+14,40.7980949,-91.0918115,52601
6485950,42.52443909,-96.480503,51109
