zip3,study_year_idx,totalAvgAbove2,sd_avgAvgAbove,countAvgAbove,totalMaxAbove2,sd_avgMaxAbove,countMaxAbove,totalMinAbove2,sd_avgMinAbove,countMinAbove,total_AvgMaxConsec,sd_AvgMaxConsec,count_MaxConsec,total_AvgDaysConsec,sd_AvgDaysConsec,count_total_DaysConsec,n
500,3,0.3333333333333333,0.12598815766974242,1,0.3333333333333333,0.12598815766974242,1,0,0,0,7,0,21,0,0,0,7
500,4,3.333333333333333,0.7632113616106501,10,6.333333333333333,1.2428245228562216,19,2,0.5773502691896256,6,13.666666666666666,0.48112522432468807,41,2,0.5773502691896257,6,12
500,5,1.6666666666666667,0.48112522432468813,5,3,0.8660254037844386,9,1.6666666666666667,0.48112522432468813,5,13.333333333333334,0.3849001794597505,40,1.6666666666666667,0.4811252243246882,5,12
500,6,1.6666666666666665,0.38816671762710503,5,4.666666666666667,0.9516952798684595,14,0.6666666666666666,0.19245008972987526,2,12.333333333333334,0.0962250448649376,37,0.6666666666666666,0.19245008972987526,2,12
500,7,0,0,0,0.3333333333333333,0.09622504486493763,1,0,0,0,12,0,36,0,0,0,12
500,8,0,0,0,0,0,0,0,0,0,12,0,36,0,0,0,12
500,9,0,0,0,0.6666666666666666,0.19245008972987526,2,0,0,0,12,0,36,0,0,0,12
500,10,0,0,0,1.6666666666666665,0.332068306631874,5,0,0,0,12,0,36,0,0,0,12
500,11,2.333333333333333,0.4596514563008163,7,5.333333333333333,0.9137925557897895,16,1.3333333333333333,0.259499648053841,4,13,0.20719385350268704,39,2.333333333333333,0.45965145630081633,7,12
500,12,0,0,0,0,0,0,0,0,0,12,0,38,0,0,0,12
500,13,16,1.5257387679018937,160,16,1.5257387679018937,160,16,1.5257387679018937,160,27.4,1.4782257997855115,241,16,1.5257387679018934,160,12
500,14,25.566666666666666,0.7686166827087946,255.66666666666666,26.266666666666666,0.7912913340285245,262.6666666666667,25.3,0.7557189365836422,253,33.4,0.7557189365836423,334,25.3,0.7557189365836423,253,9
501,3,1,0.37796447300922725,2,2,0.5669467095138409,4,0.5,0.18898223650461363,1,7.5,0.1889822365046136,15,1,0.3779644730092272,2,7
501,4,4,0.8141736840986618,8,10.25,1.254348496836167,20.5,2.25,0.5752963663112336,4.5,14,0.5773502691896257,28,2.25,0.649519052838329,4.5,12
501,5,1,0.19462473604038077,2,2.5,0.498102459947811,5,0.5,0.14433756729740643,1,12,0,24,0,0,0,12
501,6,1.5,0.3107907802540305,3,5,0.6685579234215213,10,1,0.28867513459481287,2,12.5,0.14433756729740643,25,1,0.28867513459481287,2,12
501,7,0.5,0.1443375672974064,1,1.5,0.3107907802540305,3,0,0,0,12,0,24,0,0,0,12
501,8,0.5,0.14433756729740643,1,1,0.28867513459481287,2,0,0,0,12,0,24,0,0,0,12
501,9,1.5,0.3614994027406106,3,1.75,0.4324656230864081,3.5,1.25,0.360843918243516,2.5,13,0.28867513459481287,26,1.5,0.3614994027406106,3,12
501,10,1.25,0.2911250382203287,2.5,2.25,0.3861964879083279,4.5,0.75,0.21650635094610965,1.5,12.75,0.21650635094610965,25.5,1.25,0.29112503822032876,2.5,12
501,11,2,0.30772872744833185,4,4.25,0.5686740292251365,8.5,0.25,0.07216878364870322,0.5,12.5,0.14433756729740643,25,1,0.28867513459481287,2,12
501,12,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
501,13,53.5,3.598979232386805,385,53.5,3.598979232386805,385,53.5,3.598979232386805,385,63.5,3.4867172196346763,435,53.5,3.598979232386805,385,12
501,14,59.75,1.8798291720391465,507,59.75,1.8798291720391465,507,59.63888888888889,1.8775245921064083,506,66.58333333333333,1.8708286933869709,565.5,59.75,1.8798291720391465,507,9
502,3,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,7
502,4,3.5,1.0103629710818454,7,5,1.144817042415975,10,3,0.8660254037844386,6,15,0.8660254037844386,30,3.5,1.0103629710818451,7,12
502,5,3,0.8660254037844386,6,3,0.8660254037844386,6,2,0.5773502691896257,4,14.5,0.7216878364870323,29,3,0.8660254037844386,6,12
502,6,0.5,0.1443375672974064,1,0.5,0.1443375672974064,1,0,0,0,12,0,24,0,0,0,12
502,7,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
502,8,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
502,9,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
502,10,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
502,11,3,0.621581560508061,6,5,0.9962049198956219,10,2,0.38924947208076144,4,13,0.19462473604038075,26,3,0.621581560508061,6,12
502,12,0,0,0,0,0,0,0,0,0,12,0,33,0,0,0,12
502,13,14.583333333333334,1.282879855600564,87.5,14.583333333333334,1.282879855600564,87.5,14.583333333333334,1.282879855600564,87.5,26.083333333333332,1.239836628479682,140.5,14.583333333333334,1.282879855600564,87.5,12
502,14,17.305555555555557,0.7188459782640454,125,17.305555555555557,0.7188459782640454,125,17.305555555555557,0.7188459782640454,125,25.694444444444443,0.7065306278716538,189.5,17.305555555555557,0.7188459782640454,125,9
503,3,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,7
503,4,10,2.886751345948128,20,10.5,3.031088913245535,21,8.5,2.4537386440559104,17,21,2.598076211353316,42,10,2.886751345948129,20,12
503,5,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
503,6,6.5,1.587713240271471,13,7,1.6072751268321595,14,5,1.1645001528813148,10,17,1.2939252004047315,34,6.5,1.5877132402714709,13,12
503,7,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
503,8,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
503,9,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
503,10,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
503,11,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
503,12,0,0,0,0,0,0,0,0,0,12,0,24,0,0,0,12
503,13,0,0,0,0,0,0,0,0,0,12,0,50,0,0,0,12
503,14,5.166666666666667,0.8243731250973168,31,7.5,1.1938790651578668,45,4.166666666666667,0.7096936828356233,25,12.416666666666666,0.6082635677905053,74.5,4.583333333333333,0.7710522712101117,27.5,9
504,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7
504,4,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
504,5,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
504,6,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
504,7,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
504,8,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
504,9,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
504,10,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
504,11,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
504,12,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
504,13,0,0,0,0.5,0.14433756729740643,1,0,0,0,12,0,18,0,0,0,12
504,14,30.916666666666668,3.6201542750701443,121,32,3.520525134439779,123.33333333333333,30.75,3.6101227279846198,120.33333333333333,38.5,3.4997519753389508,142.66666666666666,30.916666666666668,3.6201542750701443,121,9
505,4,10.600000000000001,0.14142135623730964,53,10.600000000000001,0.14142135623730964,53,10.600000000000001,0.14142135623730964,53,12.2,0.14142135623730964,61,10.600000000000001,0.14142135623730964,53,2
505,5,52.8,1.6212869667555552,264,53,1.6917868828971507,265,52,1.3395095051121193,260,58.6,1.4099138778156428,293,52.8,1.621286966755555,264,8
505,6,53.6,0.5014265364224068,268,54.2,0.5700877125495689,271,53,0.45903625751598937,265,59,0.42003401222826137,295,53.6,0.5014265364224069,268,8
505,7,60.86666666666667,4.1286834385826845,243,60.86666666666667,4.1286834385826845,243,60.86666666666667,4.1286834385826845,243,70.86666666666666,3.9939811619342325,273,60.86666666666667,4.1286834385826845,243,12
505,8,81.16666666666667,4.912598899373727,243,81.16666666666667,4.912598899373727,243,81.16666666666667,4.912598899373727,243,90,4.8084521544060435,263,81.16666666666667,4.912598899373727,243,12
505,9,78.33333333333333,4.889606237546042,235,79,4.944387696871038,237,78.33333333333333,4.889606237546042,235,87,4.744214978010141,255,78,4.864839839775475,234,12
505,10,82,5.050252518939078,246,82,5.050252518939078,246,81.33333333333334,5.007738119894158,244,91,4.864061153921783,265,82,5.050252518939078,246,12
505,11,74.33333333333334,5.005972863466632,223,74.33333333333334,5.005972863466632,223,74.33333333333334,5.005972863466632,223,83.66666666666667,4.856440757902523,243,74.33333333333334,5.005972863466632,223,12
505,12,92.33333333333334,4.650314062019992,277,92.66666666666667,4.672795398368821,278,92,4.629723904764023,276,101,4.479188689163621,297,92.33333333333334,4.650314062019992,277,12
505,13,60.22083333333333,3.5407162086210158,281.5,60.47083333333333,3.524043703264311,283.5,60.22083333333333,3.5407162086210158,281.5,70.09166666666667,3.4363769209143213,344,60.15833333333333,3.545602462542942,281,12
505,14,26.63888888888889,1.764848197747887,223.5,28.416666666666668,1.9317323801256545,238.5,24.40277777777778,1.601286010502625,204.5,32.479166666666664,1.5418856200873328,274,26.166666666666668,1.7232264937062427,219.5,9
506,3,1.0833333333333333,0.290388355182154,6.5,1.75,0.47871355387816905,10.5,0.75,0.21897428033843486,4.5,7.583333333333334,0.15957118462605638,45.5,1,0.2834733547569204,6,7
506,4,3.75,0.8769818824937161,22.5,4.833333333333333,1.1122784272219342,29,2.25,0.5460198039106515,13.5,14.25,0.5471747915659606,85.5,3.6666666666666665,0.8530495898208982,22,12
506,5,1.9166666666666667,0.5532940079733913,11.5,2.75,0.6918765654494896,16.5,1.4166666666666667,0.40895644067598497,8.5,13.416666666666666,0.40895644067598486,80.5,1.75,0.5051814855409226,10.5,12
506,6,2.1666666666666665,0.2816647241580259,13,3.083333333333333,0.3916075605519912,18.5,1,0.15488672954743085,6,13.333333333333334,0.20205176521108603,80,2.1666666666666665,0.2816647241580259,13,12
506,7,0,0,0,0,0,0,0,0,0,12,0,72,0,0,0,12
506,8,0.25,0.07216878364870322,1.5,0.4166666666666667,0.12028130608117203,2.5,0.25,0.07216878364870322,1.5,12.166666666666666,0.048112522432468836,73,0.25,0.07216878364870322,1.5,12
506,9,2.75,0.5425400883573005,16.5,4.75,0.9528830521691063,28.5,1.9166666666666665,0.393216362508108,11.5,13,0.20719385350268704,78,2.5,0.49810245994781094,15,12
506,10,1.8333333333333335,0.37239555740965963,11,2.5,0.4981024599478109,15,1.1666666666666665,0.2298257281504081,7,13,0.20719385350268704,78,1.6666666666666667,0.3541480981466305,10,12
506,11,0.8333333333333333,0.15005610622975335,5,1.6666666666666665,0.22285264114050715,10,0.3333333333333333,0.09622504486493763,2,12.333333333333334,0.0962250448649376,74,0.5,0.14433756729740643,3,12
506,12,2,0.43228310962688193,12,3.9583333333333335,0.6826813069324636,24,1.3333333333333333,0.2872134789517764,8,13.083333333333334,0.2646188733785785,86.5,1.6666666666666665,0.388166717627105,10,12
506,13,0.225,0.044113747599503796,2,0.55,0.09643257968260739,5,0.05,0.014433756729740645,0.5,12.05,0.014433756729740658,108.5,0.1,0.02886751345948129,1,12
506,14,4.945454545454545,0.9016411931243268,53,8.1,1.3635833323021485,86.5,3.436363636363636,0.7119406605414748,37,11.427272727272728,0.4475080219974455,121,4.336363636363636,0.8321037761090115,46.5,9
507,13,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6
507,14,17,3.6552853665768845,17,23,4.304390523381652,23,12,2.6925824035672523,12,17,1.8333333333333333,17,15,3.7416573867739413,15,9
508,13,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6
508,14,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,9
510,3,15,3.670993118515816,15,18,4.076646614442761,18,11,3.309438162646486,11,19,3.3022358947782493,19,15,3.670993118515816,15,7
510,4,21,5.189587477036897,21,25,6.067174470921868,25,17,4.907477288111821,17,27,4.025486983527018,27,21,5.189587477036897,21,12
510,5,26,5.491039532867629,26,29,5.838093296045666,29,23,5.053501636279421,23,33,4.938255120623441,33,26,5.491039532867629,26,12
510,6,65,4.888917584856094,65,76,5.757735244999995,76,56,4.355421560503296,56,56,3.0846639225613406,56,65,4.888917584856095,65,12
510,7,45,7.149380138420139,45,50,7.941070838407502,50,39,6.19567297687375,39,47,5.484827557301444,47,44,6.98483205151554,44,12
510,8,7,1.5050420310248867,7,9,1.864744681524183,9,5,1.1645001528813148,5,17,1.164500152881315,17,7,1.5050420310248864,7,12
510,9,16,3.3665016461206916,16,20,4.438126822992972,20,11,2.2343733444579588,11,21,1.764549903980152,21,14,2.855085839605379,14,12
510,10,16,4.0301891075263745,16,17,4.3161079549506045,17,15,4.025486983527018,15,26,3.7376057804023377,26,16,4.030189107526375,16,12
510,11,25,2.8109633849474362,25,30,3.424510582152248,30,18,2.2763607319179844,18,32,2.348435972120917,32,25,2.8109633849474367,25,12
510,12,41.5,7.673621680599697,44,44.5,7.9785460435907085,48,36.5,6.777161960763829,39,41,5.900051360844756,57,41.5,7.6736216805996955,44,12
510,13,7,1.252648708888006,36,8.166666666666668,1.430230668217461,42,5.375,0.9849122211310678,28,17,0.9359203864095331,109,6.875,1.2550560623721037,35,12
510,14,19.355555555555554,2.039956661902821,181,21.666666666666664,2.2509737262014813,203,17.333333333333332,1.8602734433277859,162,24.133333333333333,1.6438906725235338,227,19.255555555555556,2.0307140925427136,180,9
511,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7
511,4,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
511,5,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
511,6,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
511,7,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
511,8,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
511,9,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
511,10,0,0,0,1,0.2886751345948128,1,0,0,0,12,0,12,0,0,0,12
511,11,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,12
511,12,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,12
511,13,0.6666666666666666,0.12974982402692053,2,0.6666666666666666,0.12974982402692053,2,0.6666666666666666,0.12974982402692053,2,12,0,26,0.6666666666666666,0.1297498240269205,2,12
511,14,84,2.5055493963954847,252,84,2.5055493963954847,252,84,2.5055493963954847,252,90,2.5055493963954847,270,84,2.5055493963954847,252,9
512,13,2.5,0.801040989379861,5,4,1.0327955589886446,8,1,0.408248290463863,2,7.5,0.6123724356957945,15,2,0.816496580927726,4,6
512,14,11.5,2.6114066026653995,28,14.25,2.811805469800498,36,8.5,1.9556719504502222,20,18,2.2878756522153907,49,11.25,2.6040833319999575,27,9
513,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7
513,4,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,12
513,5,12.5,2.6151510762315726,25,12.5,2.6151510762315726,25,11.5,2.4351435773736716,23,23.5,2.4351435773736716,43,12.5,2.6151510762315726,25,12
513,6,33.5,3.810621121724559,67,36.5,4.042154765903348,73,33,3.8049011455322628,66,42.5,3.614732061825313,81,33.5,3.8106211217245587,67,12
513,7,20.5,3.768640539392356,41,23,4.05548636996473,46,18.5,3.493229381983313,37,26.5,2.8240713142339002,49,19.5,3.7966791709693783,39,12
513,8,4,0.8876253645985943,8,4,0.8876253645985943,8,3.5,0.7525210155124433,7,15,0.7229988054812212,26,4,0.8876253645985945,8,12
513,9,0,0,0,0,0,0,0,0,0,12,0,20,0,0,0,12
513,10,9.5,2.08303028098853,19,9.5,2.08303028098853,19,8.5,1.9123799229486207,17,20.5,1.91237992294862,37,9.5,2.0830302809885293,19,12
513,11,0,0,0,0,0,0,0,0,0,12,0,20,0,0,0,12
513,12,7.5,2.165063509461097,15,7.5,2.165063509461097,15,6.5,1.876388374866284,13,19,2.0207259421636903,38,7.5,2.165063509461097,15,12
513,13,18.166666666666668,3.1232739340858444,48,20.833333333333336,3.3420026154211016,55,15.166666666666666,2.81541422157686,40,25.333333333333332,2.3152255527851624,61,17.833333333333336,3.1167990032942496,47,12
